Year;Month;BTC_price
2021;12;57239
2021;11;60956
2021;10;48163
2021;9;48841
2021;8;39882
2021;7;33525
2021;6;36682
2021;5;57836
2021;4;58727
2021;3;49620
2021;2;33544
2021;1;29392
2020;12;18795
2020;11;13763
2020;10;10627
2020;9;11964
2020;8;11354
2020;7;9154
2020;6;9565
2020;5;8772
2020;4;6672
2020;3;8540
2020;2;9389
2020;1;7188
2019;12;7421
2019;11;9265
2019;10;8327
2019;9;9773
2019;8;10405
2019;7;10599
2019;6;8553
2019;5;5424
2019;4;4156
2019;3;3850
2019;2;3468
2019;1;3869
2018;12;4166
2018;11;6358
2018;10;6579
2018;9;7192
2018;8;7604
2018;7;6348
2018;6;7518
2018;5;9068
2018;4;6817
2018;3;10908
2018;2;9053
2018;1;13412
2017;12;10860
2017;11;6750
2017;10;4395
2017;9;4951
2017;8;2736
2017;7;2460
2017;6;2452
2017;5;1402
2017;4;1090
2017;3;1230
2017;2;987
2017;1;998
2016;12;753
2016;11;729
2016;10;614
2016;9;572
2016;8;607
2016;7;677
2016;6;536
2016;5;453
2016;4;417
2016;3;434
2016;2;371
2016;1;434
2015;12;363
2015;11;325
2015;10;238
2015;9;227
2015;8;280
2015;7;258
2015;6;223
2015;5;232
2015;4;247
2015;3;259
2015;2;226
2015;1;314
2014;12;379
2014;11;325
2014;10;381
2014;9;474
2014;8;595
2014;7;636
2014;6;629
2014;5;456
2014;4;479
2014;3;564
2014;2;853
2014;1;770
2013;12;947
2013;11;199
2013;10;125
2013;9;128
2013;8;96
2013;7;85
2013;6;129
2013;5;116
2013;4;104
2013;3;35
2013;2;21
2013;1;13
2012;12;13
2012;11;11
2012;10;12
2012;9;10
2012;8;10
2012;7;7
2012;6;5
2012;5;5
2012;4;5
2012;3;5
2012;2;6
2012;1;5
2011;12;3
2011;11;3
2011;10;5
2011;9;8
2011;8;13
2011;7;15
2011;6;10
2011;5;3
2011;4;1
2011;3;1
2011;2;1
2011;1;0
2010;12;0
2010;11;0
2010;10;0
2010;9;0
2010;8;0
2010;7;0
